type,id,order,speaker,text,narration,layout,fx,option_id,label,note
line,after_first_offering,1,옥토끼,푸하! 고맙습니다.,FALSE,near_yokai,offer_react,,,
line,after_first_offering,2,옥토끼,기력이 떨어져서 도망갈 뻔 했네요.,FALSE,near_yokai,,,,
line,after_first_offering,3,옥토끼,"안녕하세요, 손님!",FALSE,near_yokai,,,,
line,after_first_offering,4,옥토끼,원래 넋 단계에서는 말을 못 하거든요?,FALSE,near_yokai,,,,
line,after_first_offering,5,옥토끼,근데 저는 그냥 할래요. 안 그러면 아무것도 설명을 못 드리잖아요. 헤헤.,FALSE,near_yokai,,,,
line,after_first_offering,6,옥토끼,지금 이 몽글몽글한 상태가 ‘넋’ 단계예요.,FALSE,near_yokai,,,,
line,after_first_offering,7,옥토끼,"아무것도 기억 안 나고, 아무것도 모르는 도깨비불이죠.",FALSE,near_yokai,,,,
line,after_first_offering,8,옥토끼,근데 걱정 마세요! 잘 먹여주고 잘 놀아주시면 금방 쑥쑥 자라요.,FALSE,near_yokai,,,,
line,after_first_offering,9,옥토끼,"자, 지금은 제가 알아서 클게요.  뿅!",FALSE,near_yokai,,,,
line,after_apparition_evolve,1,옥토끼,짜잔!  이 상태는 ‘괴’라고 해요. 아직 제모습을 되찾지 못한 상태랍니다.,FALSE,near_yokai,evolve_flash,,,
line,after_apparition_evolve,2,옥토끼,하지만 귀엽죠?,FALSE,near_yokai,,,,
line,after_apparition_evolve,3,옥토끼,이제 수련을 하러 갈 힘이 생겼어요. 저기 수련장을 눌러주세요!,FALSE,near_yokai,,,,
line,petting,1,옥토끼,"헤헤, 간질간질해요!",FALSE,near_yokai,offer_react,,,
line,petting,2,,건드리기로 아이템을 얻었다. (정화수 +1),TRUE,top_narration,,,,
line,training_intro,1,옥토끼,수련은 윷놀이로 해요!,FALSE,bottom_wide,,,,
line,training_intro,2,옥토끼,윷을 던질 때마다 심장이 하나씩 줄어요. 근데 윷이나 모가 나오면 공짜로 한 번 더 던질 수 있어요!,FALSE,near_yokai,,,,
line,training_intro,3,옥토끼,"저를 움직여주시면 기력도 조금 오르고, 무엇보다 저랑 더 친해질 수 있어요. 그게 제일 중요하죠!",FALSE,near_yokai,,,,
line,training_intro,4,옥토끼,한 번 윷을 던져보세요!,FALSE,bottom_wide,,,,
line,training_gae_first,1,옥토끼,"앗, 개가 나왔네요! 저를 앞으로 두 칸 움직여 주세요.",FALSE,bottom_wide,,,,
line,training_pass_to_imugi,1,옥토끼,그럼 다음 턴은 이무기 님이십니다. 이무기 님!,FALSE,near_yokai,,,,
line,training_imugi_throw1,1,이무기,....,FALSE,near_yokai,,,,
line,training_imugi_throw1,2,,이무기가 귀찮다는 듯 윷을 던진다.,TRUE,top_narration,,,,
line,training_capture,1,옥토끼,앗! 이무기 님도 개가 나왔어요. 제 말이 잡혀버렸어요...,FALSE,bottom_wide,,,,
line,training_capture,2,,"이무기의 말이 옥토끼 말을 잡고, 옥토끼 말이 시작점으로 돌아간다.",TRUE,top_narration,,,,
line,training_capture,3,옥토끼,"적편의 말을 잡았으니 이무기 님, 한 번 더 던지세요!",FALSE,near_yokai,,,,
line,training_imugi_bonus,1,,이무기가 윷을 던지고 도가 나와서 한 칸 더 앞으로 간다.,TRUE,top_narration,,,,
line,training_mo_result,1,옥토끼,와! 모가 나왔어요!,FALSE,bottom_wide,,,,
line,training_mo_result,2,옥토끼,이제 모서리에 도착하셨으니 지름길로 가실 수 있어요.,FALSE,near_yokai,,,,
line,training_mo_result,3,옥토끼,모가 나왔으니 다시 한 번 던져주세요! 히히!,FALSE,near_yokai,,,,
line,training_shortcut,1,옥토끼,와! 운이 좋으시네요! 북극성에 도착했어요. 여기가 제일 빠른 길이랍니다.,FALSE,bottom_wide,,,,
line,training_shortcut,2,옥토끼,이무기 님이 저를 잡아주셔서 오히려 빨리 올 수 있었네요.,FALSE,near_yokai,,,,
line,training_shortcut,3,이무기,....,FALSE,near_yokai,,,,
line,training_shortcut,4,,이무기가 어이없다는 표정을 짓는다.,TRUE,top_narration,,,,
line,training_coin_tile,1,옥토끼,그리고 여기는 엽전 칸이에요.,FALSE,near_yokai,,,,
line,training_coin_tile,2,옥토끼,엽전은 상점에서 쓰실 수 있답니다.,FALSE,near_yokai,,,,
line,training_handoff,1,옥토끼,이제 직접 윷을 던져보세요. 언제든 뒤로가기 버튼을 누르면 족자로 돌아가실 수 있어요.,FALSE,bottom_wide,,,,
line,training_handoff,2,옥토끼,윷놀이 룰은 언제든 ? 버튼을 눌러주시면 보실 수 있답니다!,FALSE,near_yokai,,,,
line,energy_warning,1,,기력이 떨어지고 있다... 방치하면 도망갈지도 모른다.,TRUE,top_narration,energy_warning_pulse,,,
line,energy_warning,2,옥토끼,"손님, 기력이 바닥나면 요괴가 도망가요. 공양으로 채워주세요!",FALSE,near_yokai,,,,
line,need_more_energy,1,옥토끼,기력이 모자라요,FALSE,near_yokai,,,,
line,after_manifest_evolve,1,옥토끼,이제 제 모습을 찾았네요.,FALSE,near_yokai,evolve_flash,,,
line,after_manifest_evolve,2,옥토끼,이 모습은 ‘혼’이라고 해요.,FALSE,near_yokai,,,,
line,after_manifest_evolve,3,옥토끼,이제 여기서부터는 저를 잘 부탁드릴게요.,FALSE,near_yokai,,,,
line,memory_moon,1,,— 달 —,TRUE,above_mortar,,,,
line,memory_moon,2,옥토끼,여긴 달이에요. 조용하죠?,FALSE,near_yokai,,,,
line,memory_moon,3,옥토끼,늘 이렇죠. 아무도 없으니까요.,FALSE,near_yokai,,,,
