type,id,order,speaker,text_ko,text_en,narration,layout,fx,option_id,label_ko,label_en,note
line,training_gae_first,1,옥토끼,"앗, 개가 나왔네요! 저를 앞으로 두 칸 움직여 주세요.",,FALSE,bottom_wide,,,,,
line,training_pass_to_imugi,1,옥토끼,그럼 다음 턴은 이무기 님이십니다. 이무기 님!,,FALSE,near_yokai,,,,,
line,training_imugi_throw1,1,이무기,....,,FALSE,near_yokai,,,,,
line,training_imugi_throw1,2,,이무기가 귀찮다는 듯 윷을 던진다.,,TRUE,top_narration,,,,,
line,training_capture,1,옥토끼,앗! 이무기 님도 개가 나왔어요. 제 말이 잡혀버렸어요...,,FALSE,bottom_wide,,,,,
line,training_capture,2,,"이무기의 말이 옥토끼 말을 잡고, 옥토끼 말이 시작점으로 돌아간다.",,TRUE,top_narration,,,,,
line,training_capture,3,옥토끼,"적편의 말을 잡았으니 이무기 님, 한 번 더 던지세요!",,FALSE,near_yokai,,,,,
line,training_imugi_bonus,1,,이무기가 윷을 던지고 도가 나와서 한 칸 더 앞으로 간다.,,TRUE,top_narration,,,,,
line,training_mo_result,1,옥토끼,와! 모가 나왔어요!,,FALSE,bottom_wide,,,,,
line,training_mo_result,2,옥토끼,이제 모서리에 도착하셨으니 지름길로 가실 수 있어요.,,FALSE,near_yokai,,,,,
line,training_mo_result,3,옥토끼,모가 나왔으니 다시 한 번 던져주세요! 히히!,,FALSE,near_yokai,,,,,
line,training_shortcut,1,옥토끼,와! 운이 좋으시네요! 북극성에 도착했어요. 여기가 제일 빠른 길이랍니다.,,FALSE,bottom_wide,,,,,
line,training_shortcut,2,옥토끼,이무기 님이 저를 잡아주셔서 오히려 빨리 올 수 있었네요.,,FALSE,near_yokai,,,,,
line,training_shortcut,3,이무기,....,,FALSE,near_yokai,,,,,
line,training_shortcut,4,,이무기가 어이없다는 표정을 짓는다.,,TRUE,top_narration,,,,,
line,training_coin_tile,1,옥토끼,그리고 여기는 엽전 칸이에요.,,FALSE,near_yokai,,,,,
line,training_coin_tile,2,옥토끼,엽전은 상점에서 쓰실 수 있답니다.,,FALSE,near_yokai,,,,,
line,training_handoff,1,옥토끼,이제 직접 윷을 던져보세요. 언제든 뒤로가기 버튼을 누르면 족자로 돌아가실 수 있어요.,,FALSE,bottom_wide,,,,,
